state,abbr,m_in,m_out,health,commute,ownership,m_home,m_income,poverty,temp,precip
Alabama,AL,58866,50039,1.115,24.7,68.6,142700,55935.0,16.1,66.1,58.3
Alaska,AK,16541,23220,1.571,18.8,64.0,270400,78038.0,10.6,7.8,22.5
Arizona,AZ,156164,98154,1.578,25.3,63.6,225500,70080.0,13.9,68.0,13.6
Arkansas,AR,38059,36459,1.22,21.7,65.7,127800,54322.0,16.4,66.2,50.6
California,CA,294078,368821,1.916,29.3,54.6,505000,78002.0,13.0,69.8,22.2
Colorado,CO,131450,112289,2.015,25.5,64.9,343300,72400.0,9.6,56.6,15.9
Connecticut,CT,43629,57607,2.148,26.3,66.3,275400,87005.0,9.7,37.0,50.3
Delaware,DE,21608,18095,1.575,25.8,71.1,251100,74051.0,11.0,63.4,45.7
Florida,FL,367052,247664,1.589,27.4,65.0,215300,58150.0,13.1,68.0,54.5
Georgia,GA,151546,134840,1.395,28.4,63.1,176000,56480.0,14.1,65.3,50.7
Hawaii,HI,29991,33687,2.2,27.4,58.3,615300,88101.0,9.3,73.6,63.7
Idaho,ID,39383,25377,1.864,20.7,69.3,212300,65326.0,11.9,38.8,18.9
Illinois,IL,106103,169115,1.682,29.0,66.0,194500,74030.0,12.4,43.4,39.2
Indiana,IN,70173,73857,1.371,23.6,68.9,141700,66882.0,12.8,45.9,41.7
Iowa,IA,33699,37638,1.856,19.1,71.1,147800,65635.0,11.0,43.0,34.0
Kansas,KS,46214,49883,1.667,19.3,66.3,151900,73110.0,11.6,61.8,28.9
Kentucky,KY,52172,53338,1.253,23.3,67.0,141000,55520.0,16.7,56.2,48.9
Louisiana,LA,43601,54095,1.0,25.5,65.3,163100,51760.0,18.8,66.6,60.1
Maine,ME,20474,16388,1.864,24.0,72.2,190400,65800.0,11.3,43.4,42.2
Maryland,MD,92027,99494,1.837,32.9,66.8,314800,95310.0,8.9,50.3,44.5
Massachusetts,MA,74557,98641,2.19,29.7,62.3,381600,87264.0,9.8,43.6,47.7
Michigan,MI,78819,84301,1.521,24.5,71.0,154900,63769.0,14.0,44.0,32.8
Minnesota,MN,58528,59247,2.063,23.5,71.6,223900,81260.0,9.2,37.4,27.3
Mississippi,MS,33163,37940,1.007,24.6,68.2,119000,44092.0,19.8,44.9,59.0
Missouri,MO,79319,82235,1.426,23.6,66.8,157200,60010.0,13.1,60.6,42.2
Montana,MT,21339,17949,1.83,18.0,67.7,230600,60000.0,12.4,39.2,15.3
Nebraska,NE,25148,26381,1.883,18.6,66.1,155800,73000.0,10.6,43.4,23.6
Nevada,NV,77390,57864,1.475,24.3,55.8,267900,70627.0,12.1,62.2,9.5
New Hampshire,NH,27599,23910,2.08,27.3,71.0,261700,86800.0,7.2,53.4,43.4
New Jersey,NJ,87903,122702,1.934,31.7,63.9,335600,87352.0,9.8,38.9,47.1
New Mexico,NM,33472,37334,1.515,22.1,67.6,171400,53021.0,18.6,50.3,14.6
New York,NY,137980,255001,1.944,33.3,53.9,313700,71300.0,13.9,39.0,41.8
North Carolina,NC,173980,136364,1.523,24.5,65.0,172500,60300.0,13.7,61.3,50.3
North Dakota,ND,15010,17730,1.906,17.1,62.7,193900,70000.0,10.2,34.4,17.8
Ohio,OH,107988,112973,1.376,23.5,66.0,145700,64782.0,13.6,42.8,39.1
Oklahoma,OK,47172,50912,1.175,21.7,65.6,136800,59303.0,15.0,64.6,36.5
Oregon,OR,83210,64720,1.83,23.7,61.9,312200,73900.0,12.4,43.4,27.4
Pennsylvania,PA,133718,142260,1.635,26.9,69.0,180200,69913.0,12.0,42.8,42.9
Rhode Island,RI,18474,17858,1.885,24.8,60.3,261900,70002.0,11.8,44.6,47.9
South Carolina,SC,93929,70121,1.286,24.6,68.9,162300,61476.0,14.0,63.8,49.8
South Dakota,SD,13670,14358,1.686,17.0,68.1,167100,63600.0,12.3,41.8,20.1
Tennessee,TN,106864,89927,1.287,25.0,66.3,167200,56615.0,14.4,62.0,54.2
Texas,TX,300470,241155,1.463,26.4,61.9,172500,67280.0,13.7,73.6,28.9
Utah,UT,48115,45396,2.086,21.7,69.9,279100,84517.0,9.0,42.2,12.2
Vermont,VT,9056,13060,2.097,22.9,70.7,227700,73800.0,10.5,44.4,42.7
Virginia,VA,143381,250491,1.836,28.4,66.2,273100,81000.0,10.1,58.7,44.3
Washington,WA,140273,113603,2.012,27.6,62.7,339000,82175.0,10.1,43.0,38.4
West Virginia,WV,96379,25349,1.264,25.8,72.9,119600,53520.0,17.5,63.8,45.2
Wisconsin,WI,55812,54554,1.783,22.0,66.9,180600,67163.0,10.9,45.3,32.6
Wyoming,WY,14569,14696,1.776,17.8,69.4,220500,64587.0,10.7,50.4,12.9
