,State,AverageIncome
1,Alabama,56200.0
2,Alaska,78394.0
3,Arizona,70674.0
4,Arkansas,54539.0
5,California,78105.0
6,Colorado,72499.0
7,Connecticut,87291.0
8,Delaware,74194.0
9,Florida,58368.0
10,Georgia,56628.0
11,Hawaii,88006.0
12,Idaho,65988.0
13,Illinois,74399.0
14,Indiana,66693.0
15,Iowa,66054.0
16,Kansas,73151.0
17,Kentucky,55662.0
18,Louisiana,51707.0
19,Maine,66546.0
20,Maryland,95572.0
21,Massachusetts,87707.0
22,Michigan,64119.0
23,Minnesota,81426.0
24,Mississippi,44787.0
25,Missouri,60597.0
26,Montana,60195.0
27,Nebraska,73071.0
28,Nevada,70906.0
29,New Hampshire,86900.0
30,New Jersey,87726.0
31,New Mexico,53113.0
32,New York,71855.0
33,North Carolina,61159.0
34,North Dakota,70031.0
35,Ohio,64663.0
36,Oklahoma,59397.0
37,Oregon,74413.0
38,Pennsylvania,70582.0
39,Rhode Island,70151.0
40,South Carolina,62028.0
41,South Dakota,64255.0
42,Tennessee,56627.0
43,Texas,67444.0
44,Utah,84523.0
45,Vermont,74305.0
46,Virginia,81313.0
47,Washington,82454.0
48,West Virginia,53706.0
49,Wisconsin,67355.0
50,Wyoming,65134.0
