Table with row headers in column A and column headers in rows 5 through 6 and 60 through 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table H-8. Median Household Income by State: 1984 to 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Households as of March of the following year. Income in current and 2019 CPI-U-RS adjusted dollars (28). Beginning in 2010, standard errors were calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,2019,,2018,,2017 (40),,2017,,2016,,2015,,2014,,2013 (39),,2013 (38),,2012,,2011,,2010 (37),,2009 (36),,2008,,2007,,2006,,2005,,2004 (revised),,2003,,2002,,2001,,2000 (30),,1999 (29),,1998,,1997,,1996,,1995 (25),,1994 (24),,1993 (23),,1992 (22),,1991,,1990,,1989,,1988,,1987 (21),,1986,,1985 (20),,1984 (19),
,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error,Median income,Standard error
United States,"68,703",550,"63,179",420,"61,136",322,"61,372",335,"59,039",436,"56,516",321,"53,657",392,"53,585",654,"51,939",276,"51,017",209,"50,054",251,"49,276",325,"49,777",213,"50,303",137,"50,233",140,"48,201",207,"46,326",155,"44,334",196,"43,318",188,"42,409",139,"42,228",129,"41,990",132,"40,696",190,"38,885",230,"37,005",171,"35,492",179,"34,076",197,"32,264",147,"31,241",146,"30,636",145,"30,126",144,"29,943",153,"28,906",159,"27,225",139,"26,061",127,"24,897",129,"23,618",128,"22,415",102
Alabama,"56,200","2,512","49,936","2,423","50,865","1,094","51,113",845,"47,221","2,301","44,509","3,419","42,278","1,529","47,320","5,511","41,381","2,315","43,464","2,529","42,590","2,021","40,933","2,396","39,980",904,"44,476","1,659","42,212","1,420","37,952","1,014","37,150","1,215","36,629","1,303","37,255","1,580","37,603","1,062","35,160","1,006","35,424","1,072","36,251","1,189","36,266","1,307","31,939","1,607","30,302","1,258","25,991","1,266","27,196","1,559","25,082","1,088","25,808","1,058","24,346","1,068","23,357","1,037","21,284","1,070","19,948",912,"19,734","1,147","19,132",885,"18,333",760,"17,310",605
Alaska,"78,394","6,685","68,734","3,390","77,987","3,718","72,231","2,719","75,723","4,086","75,112","3,485","67,629","3,153","72,472","5,446","61,137","3,301","63,648","2,839","57,431","3,710","57,848","2,390","61,604","1,751","63,989","2,302","62,993","1,583","56,418","1,495","55,891","1,331","55,063","2,071","51,837",981,"52,774","1,073","57,363","2,012","52,847","1,159","51,396","2,226","50,692","2,124","47,994","1,258","52,779","1,907","47,954","2,008","45,367","1,494","42,931","1,643","41,802","1,156","40,612","1,822","39,298","1,627","36,006","1,378","33,103","1,183","33,233","1,497","31,356","1,017","34,782","1,089","32,356","1,473"
Arizona,"70,674","3,391","62,283","2,291","59,700","2,689","61,125","2,642","57,100","1,971","52,248","2,008","49,254","2,304","52,611","4,365","50,602","4,831","47,044","2,922","48,621","2,424","46,896","2,227","45,739","1,241","46,914","1,125","47,215","1,555","46,657","1,246","45,245","1,271","43,846","1,143","41,166","1,422","39,734","1,003","42,704","1,441","39,783","1,210","36,995","1,133","37,090","1,255","32,740","1,297","31,637","1,274","30,863","1,360","31,293",773,"30,510","1,120","29,358","1,088","30,737",897,"29,224","1,141","28,552","1,210","26,435",843,"26,749",892,"25,500",718,"23,877",744,"21,425",609
Arkansas,"54,539","2,384","49,781","2,108","49,751","2,491","48,829","2,642","45,907","2,165","42,798","1,572","44,922","2,546","39,376","2,402","39,919","2,389","39,018","2,812","41,302","1,849","38,587","2,464","36,538",909,"39,586","1,194","40,795","1,348","37,057",767,"36,658","1,309","34,984",994,"32,002",776,"32,387",778,"33,339","1,144","29,697",772,"29,682","1,026","27,665","1,160","26,162","1,154","27,123",978,"25,814",999,"25,565",944,"23,039",847,"23,882","1,398","23,435",783,"22,786",981,"21,433",915,"20,172",706,"18,827","1,008","18,730",765,"17,451",764,"15,674",748
California,"78,105","1,850","70,489","1,233","70,038","1,576","69,759","1,452","66,637","1,075","63,636","1,711","60,487",894,"60,794","1,811","57,528","1,223","57,020","1,238","53,367","1,378","54,283","1,182","56,134",619,"57,014",829,"55,734",618,"55,319",695,"51,755",460,"49,222",660,"49,300",819,"47,437",766,"47,262",727,"46,816",686,"43,629",703,"40,934",577,"39,694",864,"38,812",818,"37,009",723,"35,331",619,"34,073",651,"34,903",629,"33,664",685,"33,290",565,"33,009",618,"30,287",634,"30,146",538,"29,010",570,"26,981",350,"25,287",364
Colorado,"72,499","5,221","73,034","3,562","74,984","2,661","74,172","2,982","70,566","4,125","66,596","3,682","60,940","2,414","67,912","4,129","63,371","2,800","57,255","2,708","58,629","2,553","60,233","2,481","55,930","1,595","60,943","1,898","61,141","1,014","55,697","1,524","50,449","1,287","50,886","1,590","49,940","1,158","48,294","1,464","49,397","1,190","48,240","1,237","48,177","1,483","46,599","1,086","43,233","1,944","40,950","1,329","40,706","1,552","37,833","1,446","34,488","1,569","32,484","1,471","31,499","1,245","30,733",906,"26,806","1,398","26,214","1,285","26,476","1,075","27,192",926,"28,182",850,"25,801",805
Connecticut,"87,291","4,630","72,812","5,119","74,304","3,453","72,780","3,509","75,923","3,404","72,889","4,449","70,161","2,665","69,291","3,238","67,781","2,547","64,247","2,853","65,415","3,014","65,998","2,095","64,851","2,308","64,682","2,701","64,141","2,049","62,404","2,162","56,835","1,633","55,100","1,648","54,965","1,561","53,387","1,370","53,347","1,240","50,172","1,357","50,593","2,296","46,508","2,728","43,985","1,989","42,119","3,087","40,243","2,269","41,097","1,595","39,516","1,660","40,841","1,972","42,154","1,944","38,870","2,097","42,321","1,592","36,213","1,293","32,862","1,362","32,721","1,605","31,090","1,129","29,951","1,238"
Delaware,"74,194","3,009","65,012","3,599","64,961","5,230","62,318","3,300","58,046","2,992","57,756","3,392","57,522","2,970","54,091","4,350","52,219","2,486","48,972","1,976","54,660","1,745","55,214","2,255","52,114","1,781","50,702","1,388","54,589","2,159","52,438","1,730","51,235","1,076","48,049","1,421","49,019","1,378","49,650","1,685","49,602","1,468","50,365","1,508","46,628","2,281","41,458","1,753","43,033","2,062","39,309","1,402","34,928","1,848","35,873","1,191","36,064",849,"35,678","1,393","32,585","1,111","30,804","1,113","32,068","1,133","30,505","1,167","29,244",875,"25,626","1,212","22,980","1,366","25,819","1,027"
