state,m_in,m_out
Alabama,58866,50039
Alaska,16541,23220
Arizona,156164,98154
Arkansas,38059,36459
California,294078,368821
Colorado,131450,112289
Connecticut,43629,57607
Delaware,21608,18095
Florida,367052,247664
Georgia,151546,134840
Hawaii,29991,33687
Idaho,39383,25377
Illinois,106103,169115
Indiana,70173,73857
Iowa,33699,37638
Kansas,46214,49883
Kentucky,52172,53338
Louisiana,43601,54095
Maine,20474,16388
Maryland,92027,99494
Massachusetts,74557,98641
Michigan,78819,84301
Minnesota,58528,59247
Mississippi,33163,37940
Missouri,79319,82235
Montana,21339,17949
Nebraska,25148,26381
Nevada,77390,57864
New Hampshire,27599,23910
New Jersey,87903,122702
New Mexico,33472,37334
New York,137980,255001
North Carolina,173980,136364
North Dakota,15010,17730
Ohio,107988,112973
Oklahoma,47172,50912
Oregon,83210,64720
Pennsylvania,133718,142260
Rhode Island,18474,17858
South Carolina,93929,70121
South Dakota,13670,14358
Tennessee,106864,89927
Texas,300470,241155
Utah,48115,45396
Vermont,9056,13060
Virginia,143381,250491
Washington,140273,113603
West Virginia,96379,25349
Wisconsin,55812,54554
Wyoming,14569,14696
