Origin,Total
Alabama,227
Alabama,661
Alabama,431
Alabama,2174
Alabama,1463
Alabama,366
Alabama,92
Alabama,186
Alabama,7252
Alabama,7541
Alabama,142
Alabama,5
Alabama,833
Alabama,836
Alabama,206
Alabama,457
Alabama,1128
Alabama,1591
Alabama,47
Alabama,727
Alabama,257
Alabama,987
Alabama,276
Alabama,2687
Alabama,1115
Alabama,97
Alabama,308
Alabama,436
Alabama,76
Alabama,115
Alabama,362
Alabama,449
Alabama,2058
Alabama,16
Alabama,935
Alabama,331
Alabama,159
Alabama,746
Alabama,0
Alabama,1230
Alabama,173
Alabama,4320
Alabama,3394
Alabama,364
Alabama,0
Alabama,1653
Alabama,720
Alabama,156
Alabama,165
Alabama,89
Alaska,429
Alaska,1263
Alaska,180
Alaska,2083
Alaska,898
Alaska,193
Alaska,79
Alaska,44
Alaska,1182
Alaska,489
Alaska,401
Alaska,672
Alaska,407
Alaska,105
Alaska,156
Alaska,179
Alaska,135
Alaska,395
Alaska,26
Alaska,73
Alaska,185
Alaska,239
Alaska,296
Alaska,57
Alaska,704
Alaska,524
Alaska,94
Alaska,836
Alaska,78
Alaska,166
Alaska,404
Alaska,525
Alaska,777
Alaska,68
Alaska,315
Alaska,166
Alaska,1025
Alaska,404
Alaska,54
Alaska,111
Alaska,29
Alaska,561
Alaska,1515
Alaska,519
Alaska,92
Alaska,626
Alaska,2741
Alaska,69
Alaska,547
Alaska,104
Arizona,868
Arizona,624
Arizona,647
Arizona,17511
Arizona,4810
Arizona,309
Arizona,24
Arizona,279
Arizona,4453
Arizona,1316
Arizona,922
Arizona,2023
Arizona,3090
Arizona,1251
Arizona,1588
Arizona,1087
Arizona,487
Arizona,589
Arizona,158
Arizona,1107
Arizona,1059
Arizona,2736
Arizona,1887
Arizona,204
Arizona,1648
Arizona,602
Arizona,767
Arizona,3599
Arizona,476
Arizona,445
Arizona,2325
Arizona,2072
Arizona,2351
Arizona,72
Arizona,1869
Arizona,1111
Arizona,3958
Arizona,1716
Arizona,255
Arizona,628
Arizona,187
Arizona,1050
Arizona,10407
Arizona,3826
Arizona,0
Arizona,1631
Arizona,6073
Arizona,112
Arizona,1494
Arizona,451
Arkansas,859
Arkansas,224
Arkansas,864
Arkansas,1882
Arkansas,820
Arkansas,140
Arkansas,0
Arkansas,11
Arkansas,2194
Arkansas,1096
Arkansas,64
Arkansas,121
Arkansas,941
Arkansas,582
Arkansas,307
Arkansas,752
Arkansas,301
Arkansas,1166
Arkansas,0
Arkansas,211
Arkansas,225
Arkansas,353
Arkansas,358
Arkansas,1121
Arkansas,3226
Arkansas,72
Arkansas,122
Arkansas,240
Arkansas,183
Arkansas,122
Arkansas,214
Arkansas,404
Arkansas,759
Arkansas,39
Arkansas,477
Arkansas,3057
Arkansas,420
Arkansas,478
Arkansas,0
Arkansas,460
Arkansas,158
Arkansas,2161
Arkansas,7312
Arkansas,118
Arkansas,0
Arkansas,437
Arkansas,587
Arkansas,76
Arkansas,503
Arkansas,242
California,1674
California,2075
California,35420
California,2511
California,15176
California,2275
California,223
California,1938
California,16777
California,9704
California,6508
California,9557
California,8693
California,3996
California,2003
California,2891
California,2253
California,2990
California,707
California,5296
California,6502
California,4974
California,3615
California,1578
California,4800
California,3327
California,1585
California,28989
California,712
California,5266
California,3855
California,12995
California,10312
California,884
California,6572
California,3960
California,23626
California,6847
California,817
California,3476
California,915
California,5293
California,41645
California,9064
California,639
California,10865
California,27878
California,378
California,3558
California,1227
Colorado,983
Colorado,989
Colorado,7778
Colorado,1301
Colorado,11559
Colorado,528
Colorado,17
Colorado,419
Colorado,9068
Colorado,2034
Colorado,1244
Colorado,1624
Colorado,2391
Colorado,1312
Colorado,1793
Colorado,2599
Colorado,566
Colorado,1029
Colorado,704
Colorado,1279
Colorado,1184
Colorado,1751
Colorado,2565
Colorado,221
Colorado,2836
Colorado,1417
Colorado,1811
Colorado,2516
Colorado,359
Colorado,816
Colorado,3177
Colorado,2083
Colorado,2632
Colorado,526
Colorado,2076
Colorado,1934
Colorado,2759
Colorado,2455
Colorado,180
Colorado,1347
Colorado,496
Colorado,1781
Colorado,11575
Colorado,2509
Colorado,349
Colorado,2487
Colorado,5334
Colorado,235
Colorado,1212
Colorado,2449
Connecticut,393
Connecticut,41
Connecticut,944
Connecticut,0
Connecticut,3212
Connecticut,1134
Connecticut,228
Connecticut,188
Connecticut,9361
Connecticut,1802
Connecticut,22
Connecticut,173
Connecticut,1181
Connecticut,226
Connecticut,111
Connecticut,164
Connecticut,359
Connecticut,155
Connecticut,1227
Connecticut,856
Connecticut,5427
Connecticut,546
Connecticut,411
Connecticut,26
Connecticut,78
Connecticut,12
Connecticut,387
Connecticut,566
Connecticut,1103
Connecticut,2094
Connecticut,70
Connecticut,8223
Connecticut,2988
Connecticut,150
Connecticut,1242
Connecticut,101
Connecticut,169
Connecticut,1867
Connecticut,1974
Connecticut,1751
Connecticut,0
Connecticut,834
Connecticut,1736
Connecticut,325
Connecticut,661
Connecticut,1637
Connecticut,1109
Connecticut,141
Connecticut,170
Connecticut,32
Delaware,64
Delaware,72
Delaware,601
Delaware,60
Delaware,830
Delaware,233
Delaware,163
Delaware,70
Delaware,1660
Delaware,678
Delaware,0
Delaware,0
Delaware,32
Delaware,221
Delaware,37
Delaware,0
Delaware,98
Delaware,0
Delaware,79
Delaware,3132
Delaware,277
Delaware,110
Delaware,0
Delaware,18
Delaware,184
Delaware,0
Delaware,17
Delaware,39
Delaware,28
Delaware,810
Delaware,33
Delaware,826
Delaware,1087
Delaware,12
Delaware,176
Delaware,117
Delaware,24
Delaware,3965
Delaware,0
Delaware,186
Delaware,0
Delaware,167
Delaware,842
Delaware,107
Delaware,9
Delaware,704
Delaware,119
Delaware,63
Delaware,145
Delaware,0
District of Columbia,167
District of Columbia,12
District of Columbia,158
District of Columbia,100
District of Columbia,3650
District of Columbia,583
District of Columbia,172
District of Columbia,139
District of Columbia,1232
District of Columbia,592
District of Columbia,182
District of Columbia,0
District of Columbia,682
District of Columbia,80
District of Columbia,68
District of Columbia,53
District of Columbia,115
District of Columbia,34
District of Columbia,0
District of Columbia,12715
District of Columbia,930
District of Columbia,279
District of Columbia,245
District of Columbia,15
District of Columbia,132
District of Columbia,20
District of Columbia,54
District of Columbia,65
District of Columbia,100
District of Columbia,486
District of Columbia,55
District of Columbia,3479
District of Columbia,906
District of Columbia,0
District of Columbia,497
District of Columbia,110
District of Columbia,304
District of Columbia,1763
District of Columbia,20
District of Columbia,390
District of Columbia,0
District of Columbia,286
District of Columbia,803
District of Columbia,327
District of Columbia,64
District of Columbia,7388
District of Columbia,976
District of Columbia,290
District of Columbia,80
District of Columbia,0
Florida,7927
Florida,615
Florida,4864
Florida,1795
Florida,14868
Florida,8054
Florida,2643
Florida,629
Florida,793
Florida,23684
Florida,1266
Florida,883
Florida,7296
Florida,4951
Florida,1374
Florida,1672
Florida,3724
Florida,3118
Florida,1544
Florida,5473
Florida,5839
Florida,6740
Florida,2615
Florida,2378
Florida,3771
Florida,826
Florida,1547
Florida,3664
Florida,1565
Florida,5660
Florida,1444
Florida,12596
Florida,17358
Florida,579
Florida,8347
Florida,2138
Florida,2061
Florida,7564
Florida,1598
Florida,8887
Florida,485
Florida,11951
Florida,19821
Florida,1143
Florida,361
Florida,9661
Florida,5866
Florida,1224
Florida,2445
Florida,357
Georgia,10893
Georgia,451
Georgia,2370
Georgia,1215
Georgia,7409
Georgia,2904
Georgia,939
Georgia,140
Georgia,552
Georgia,24384
Georgia,1373
Georgia,147
Georgia,2898
Georgia,1732
Georgia,274
Georgia,987
Georgia,1454
Georgia,2178
Georgia,177
Georgia,2669
Georgia,1476
Georgia,2264
Georgia,983
Georgia,2080
Georgia,1614
Georgia,142
Georgia,268
Georgia,1203
Georgia,231
Georgia,1638
Georgia,431
Georgia,4069
Georgia,9456
Georgia,339
Georgia,3290
Georgia,866
Georgia,630
Georgia,3182
Georgia,219
Georgia,7950
Georgia,104
Georgia,7556
Georgia,10062
Georgia,824
Georgia,127
Georgia,4573
Georgia,2336
Georgia,406
Georgia,1314
Georgia,61
Hawaii,512
Hawaii,339
Hawaii,1180
Hawaii,84
Hawaii,7130
Hawaii,1787
Hawaii,431
Hawaii,16
Hawaii,12
Hawaii,1417
Hawaii,648
Hawaii,185
Hawaii,324
Hawaii,343
Hawaii,284
Hawaii,309
Hawaii,149
Hawaii,287
Hawaii,110
Hawaii,1048
Hawaii,203
Hawaii,318
Hawaii,71
Hawaii,214
Hawaii,339
Hawaii,33
Hawaii,35
Hawaii,2620
Hawaii,31
