Source: ACS 1-Year Estimates-Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Alabama; Migration recode - State or foreign country code (MIGSP): all except: N/A (person less than 1 year old/lived in same house 1 year ago); Educational attainment (SCHL): N/A (less than 3 years old), No schooling completed, 12th grade - no diploma, Regular high school diploma, GED or alternative credential, Some college, but less than 1 year, 1 or more years of college credit, no degree, Associate's degree, Bachelor's degree, Master's degree, Professional degree beyond a bachelor's degree, Doctorate degree"
"","Migration recode - State or foreign country code (MIGSP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Educational attainment (SCHL)","Total","Alabama/AL","Alaska/AK","Arizona/AZ","Arkansas/AR","California/CA","Colorado/CO","Connecticut/CT","Delaware/DE","District of Columbia/DC","Florida/FL","Georgia/GA","Hawaii/HI","Idaho/ID","Illinois/IL","Indiana/IN","Iowa/IA","Kansas/KS","Kentucky/KY","Louisiana/LA","Maine/ME","Maryland/MD","Massachusetts/MA","Michigan/MI","Minnesota/MN","Mississippi/MS","Missouri/MO","Montana/MT","Nebraska/NE","Nevada/NV","New Hampshire/NH","New Jersey/NJ","New Mexico/NM","New York/NY","North Carolina/NC","North Dakota/ND","Ohio/OH","Oklahoma/OK","Oregon/OR","Pennsylvania/PA","Rhode Island/RI","South Carolina/SC","South Dakota/SD","Tennessee/TN","Texas/TX","Utah/UT","Vermont/VT","Virginia/VA","Washington/WA","West Virginia/WV","Wisconsin/WI","Wyoming/WY","Puerto Rico","France","Germany","Northern Europe, Not Specified","Eastern Europe, Not Specified","Western Europe or Other Europe, Not Specified","Italy","Spain","United Kingdom, Excluding England","England","Russia","Ukraine","Afghanistan","China, Hong Kong, Macau & Paracel Islands","India","Israel","Japan","Korea","Nepal","Pakistan","Philippines","Saudi Arabia","Taiwan","Thailand","Turkey","United Arab Emirates","Vietnam","Eastern Asia, Not Specified","Western Asia, Not Specified","South Central Asia or Asia, Not Specified","Canada","Mexico","El Salvador","Guatemala","Honduras","Central America, not specified","Cuba","Dominican Republic","Haiti","Jamaica","Caribbean and North America, not specified","Brazil","Colombia","Ecuador","Peru","Venezuela","South America, not specified","Egypt","Ethiopia","Kenya","Nigeria","Western Africa, not specified","Other Africa, not specified","Eastern Africa, Not Specified","Australia","Other US Island Areas, Oceania, Not Specified, or At Sea"
" -> Total","502660","404059","920","950","1135","3004","1586","327","0","303","12738","12116","290","0","2243","1922","322","978","955","4354","144","509","946","1698","14","3303","1010","141","586","559","16","861","68","2153","3381","24","1991","489","267","2127","381","1305","0","8247","7738","1816","0","3213","775","180","1248","0","381","74","1368","0","196","41","215","116","366","0","0","136","287","1577","420","0","299","1439","23","0","81","123","0","0","318","0","0","0","0","0","457","132","0","452","0","0","0","0","0","254","68","0","0","0","0","206","0","0","0","62","87","0","0","0","90","0"
" -> Total -> Total Alabama","502660","404059","920","950","1135","3004","1586","327","0","303","12738","12116","290","0","2243","1922","322","978","955","4354","144","509","946","1698","14","3303","1010","141","586","559","16","861","68","2153","3381","24","1991","489","267","2127","381","1305","0","8247","7738","1816","0","3213","775","180","1248","0","381","74","1368","0","196","41","215","116","366","0","0","136","287","1577","420","0","299","1439","23","0","81","123","0","0","318","0","0","0","0","0","457","132","0","452","0","0","0","0","0","254","68","0","0","0","0","206","0","0","0","62","87","0","0","0","90","0"
" -> Total -> Total Alabama -> Total N/A(less than 1 year old)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"N/A (less than 3 years old)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No schooling completed","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12th grade - no diploma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Regular high school diploma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"GED or alternative credential","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Some college, but less than 1 year","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 or more years of college credit, no degree","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Associate's degree","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bachelor's degree","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Master's degree","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Professional degree beyond a bachelor's degree","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Doctorate degree","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
