Age (AGEP),Total,Alabama/AL,Alaska/AK,Arizona/AZ,Arkansas/AR,California/CA,Colorado/CO,Connecticut/CT,Delaware/DE,District of Columbia/DC,Florida/FL,Georgia/GA,Hawaii/HI,Idaho/ID,Illinois/IL,Indiana/IN,Iowa/IA,Kansas/KS,Kentucky/KY,Louisiana/LA,Maine/ME,Maryland/MD,Massachusetts/MA,Michigan/MI,Minnesota/MN,Mississippi/MS,Missouri/MO,Montana/MT,Nebraska/NE,Nevada/NV,New Hampshire/NH,New Jersey/NJ,New Mexico/NM,New York/NY,North Carolina/NC,North Dakota/ND,Ohio/OH,Oklahoma/OK,Oregon/OR,Pennsylvania/PA,Rhode Island/RI,South Carolina/SC,South Dakota/SD,Tennessee/TN,Texas/TX,Utah/UT,Vermont/VT,Virginia/VA,Washington/WA,West Virginia/WV,Wisconsin/WI,Wyoming/WY,Puerto Rico,France,Germany,"Northern Europe, Not Specified","Eastern Europe, Not Specified","Western Europe or Other Europe, Not Specified",Italy,Spain,"United Kingdom, Excluding England",England,Russia,Ukraine (2017 or later),Afghanistan,"China, Hong Kong, Macau and Paracel Islands",India,Iraq (2016 or earlier),Israel (2017 or later),Japan,Korea,Nepal,Pakistan,Philippines,Saudi Arabia,Taiwan,Thailand,Turkey,United Arab Emirates (2017 or later),Vietnam,"Eastern Asia, Not Specified","Western Asia, Not Specified","South Central Asia or Asia, Not Specified",Canada,Mexico,El Salvador,Guatemala,Honduras,"Central America, Not Specified",Cuba,Dominican Republic,Haiti,Jamaica,"Caribbean and North America, Not Specified",Brazil,Colombia,Ecuador (2017 or later),Peru (2017 or later),Venezuela (2017 or later),"South America, Not Specified",Egypt,Ethiopia (2017 or later),Kenya (2017 or later),Nigeria,"Western Africa, Not Specified","Northern Africa or Other Africa, Not Specified","Eastern Africa, Not Specified",Australia,"Other US Island Areas, Oceania, Not Specified, or At Sea"
 -> Total,2681950,2174,2083,17511,1882,2227228,11559,3212,830,3650,14868,7409,7130,2210,15273,3777,1728,1924,2043,3114,1240,6757,10343,5687,4978,1207,4119,1124,1307,13907,617,6684,2833,26169,7477,549,6571,3077,10730,8375,1769,2019,547,2742,21122,4683,516,10932,18559,389,3129,1154,784,2656,3317,2536,2734,2797,1678,1846,4241,2115,1738,598,1627,21796,17299,28,669,8815,7771,617,1004,8395,1625,3013,1038,1407,701,3455,3169,4015,2362,7478,12829,1481,890,325,1148,369,243,110,167,844,3605,1614,171,398,573,2197,1233,356,243,1089,339,1068,561,3401,2455
 -> Total ->,2681950,2174,2083,17511,1882,2227228,11559,3212,830,3650,14868,7409,7130,2210,15273,3777,1728,1924,2043,3114,1240,6757,10343,5687,4978,1207,4119,1124,1307,13907,617,6684,2833,26169,7477,549,6571,3077,10730,8375,1769,2019,547,2742,21122,4683,516,10932,18559,389,3129,1154,784,2656,3317,2536,2734,2797,1678,1846,4241,2115,1738,598,1627,21796,17299,28,669,8815,7771,617,1004,8395,1625,3013,1038,1407,701,3455,3169,4015,2362,7478,12829,1481,890,325,1148,369,243,110,167,844,3605,1614,171,398,573,2197,1233,356,243,1089,339,1068,561,3401,2455
Total 12th grade - no diploma,66579,41,16,278,69,58624,79,112,0,19,193,12,84,24,49,42,63,58,0,93,0,26,82,34,74,26,5,0,0,329,0,14,179,218,16,3,57,15,91,107,31,14,14,61,235,105,0,62,251,0,40,12,0,107,64,0,14,19,132,0,13,0,13,17,130,741,609,0,0,49,35,32,25,209,114,51,33,22,0,233,57,38,81,69,819,92,85,69,43,0,0,0,0,0,26,53,0,12,0,150,0,21,0,35,24,25,107,33,121
25 years Total 12th grade - no diploma,2445,0,0,1,0,2296,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,3,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26 years Total 12th grade - no diploma,2779,0,0,0,0,2606,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,22,0,0,0,26,0,0,0,15,0,0,0,0,0,0,0,0,0,13,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27 years Total 12th grade - no diploma,2252,0,0,0,0,1912,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,19,0,0,0,0,0,0,0,31,0,0,0,31,0,0,0,12,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,13,0,11,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,11,0,0,12,26,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0
28 years Total 12th grade - no diploma,2453,0,0,32,0,2261,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
29 years Total 12th grade - no diploma,2790,0,0,28,31,2440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,14,0,0,0,0,16,0,0,0,0,0,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
30 years Total 12th grade - no diploma,2382,0,0,0,0,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
31 years Total 12th grade - no diploma,2088,0,0,0,0,1918,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,12,0
