Age (AGEP),Total,N/A (person less than 1 year old/lived in same house 1 year ago),Alabama/AL,Alaska/AK,Arizona/AZ,Arkansas/AR,California/CA,Colorado/CO,Connecticut/CT,Delaware/DE,District of Columbia/DC,Florida/FL,Georgia/GA,Hawaii/HI,Idaho/ID,Illinois/IL,Indiana/IN,Iowa/IA,Kansas/KS,Kentucky/KY,Louisiana/LA,Maine/ME,Maryland/MD,Massachusetts/MA,Michigan/MI,Minnesota/MN,Mississippi/MS,Missouri/MO,Montana/MT,Nebraska/NE,Nevada/NV,New Hampshire/NH,New Jersey/NJ,New Mexico/NM,New York/NY,North Carolina/NC,North Dakota/ND,Ohio/OH,Oklahoma/OK,Oregon/OR,Pennsylvania/PA,Rhode Island/RI,South Carolina/SC,South Dakota/SD,Tennessee/TN,Texas/TX,Utah/UT,Vermont/VT,Virginia/VA,Washington/WA,West Virginia/WV,Wisconsin/WI,Wyoming/WY,Puerto Rico,France,Germany,"Northern Europe, Not Specified","Eastern Europe, Not Specified","Western Europe or Other Europe, Not Specified",Italy,Spain,"United Kingdom, Excluding England",England,Russia,Ukraine (2017 or later),Afghanistan,"China, Hong Kong, Macau and Paracel Islands",India,Iraq (2016 or earlier),Israel (2017 or later),Japan,Korea,Nepal,Pakistan,Philippines,Saudi Arabia,Taiwan,Thailand,Turkey,United Arab Emirates (2017 or later),Vietnam,"Eastern Asia, Not Specified","Western Asia, Not Specified","South Central Asia or Asia, Not Specified",Canada,Mexico,El Salvador,Guatemala,Honduras,"Central America, Not Specified",Cuba,Dominican Republic,Haiti,Jamaica,"Caribbean and North America, Not Specified",Brazil,Colombia,Ecuador (2017 or later),Peru (2017 or later),Venezuela (2017 or later),"South America, Not Specified",Egypt,Ethiopia (2017 or later),Kenya (2017 or later),Nigeria,"Western Africa, Not Specified","Northern Africa or Other Africa, Not Specified","Eastern Africa, Not Specified",Australia,"Other US Island Areas, Oceania, Not Specified, or At Sea"
 -> Total,12091022,10282681,7252,1182,4453,2194,16777,9068,9361,1660,1232,1317824,24384,1417,593,16393,8848,2368,1969,6183,3286,2395,9475,11931,13427,4499,2700,6805,423,1590,3226,3620,19560,1845,39334,16035,762,16705,2181,1577,19623,2081,7279,744,9449,16655,2057,1559,16889,3713,2283,5287,440,15664,924,2308,679,2306,1119,1605,1287,2158,1353,1137,325,154,2964,3697,0,311,1322,848,78,316,2144,409,222,568,785,225,910,397,1309,707,13011,3261,238,411,923,2330,12402,2812,3506,3222,1954,8047,5306,743,859,7591,7380,323,0,47,664,248,1009,181,821,228
 -> Total ->,12091022,10282681,7252,1182,4453,2194,16777,9068,9361,1660,1232,1317824,24384,1417,593,16393,8848,2368,1969,6183,3286,2395,9475,11931,13427,4499,2700,6805,423,1590,3226,3620,19560,1845,39334,16035,762,16705,2181,1577,19623,2081,7279,744,9449,16655,2057,1559,16889,3713,2283,5287,440,15664,924,2308,679,2306,1119,1605,1287,2158,1353,1137,325,154,2964,3697,0,311,1322,848,78,316,2144,409,222,568,785,225,910,397,1309,707,13011,3261,238,411,923,2330,12402,2812,3506,3222,1954,8047,5306,743,859,7591,7380,323,0,47,664,248,1009,181,821,228
Total 12th grade - no diploma,270452,230670,12,38,56,44,316,59,136,0,11,31472,50,17,0,262,188,0,0,39,44,145,113,121,175,66,15,56,0,0,82,50,256,33,579,258,6,235,0,0,290,10,122,16,41,364,13,0,242,0,31,46,0,397,14,29,0,38,59,0,12,21,0,0,0,0,69,78,0,0,0,0,0,20,0,9,0,27,19,0,36,0,0,28,577,157,0,22,73,61,670,34,256,141,10,58,237,75,0,218,87,83,0,0,0,31,27,0,0,0
25 years Total 12th grade - no diploma,5633,4046,0,0,23,0,0,0,0,0,0,1260,8,0,0,39,0,0,0,0,0,0,0,0,0,18,0,34,0,0,0,0,0,0,59,20,0,0,0,0,26,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,22,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26 years Total 12th grade - no diploma,5076,4032,12,0,0,0,0,0,0,0,0,886,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,32,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27 years Total 12th grade - no diploma,4780,3682,0,0,0,0,29,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,19,0,0,0,0,13,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28 years Total 12th grade - no diploma,4659,3661,0,0,0,0,0,0,0,0,0,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,42,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
29 years Total 12th grade - no diploma,4475,3480,0,0,3,0,16,0,0,0,0,857,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,7,0,0,48,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 years Total 12th grade - no diploma,5420,4025,0,0,0,0,76,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,16,0,24,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31 years Total 12th grade - no diploma,5311,4404,0,0,4,0,0,0,0,0,0,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,37,0,0,0,0,0,31,0,0,0,0
