24-Feb-20,,,,,,,,,,,,,,,,,,,
"State Individual Income Taxes, 2020",,,,,,,,,,,,,,,,,,,
"(Tax rates for tax year 2020 -- as of January 1, 2020)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Tax Rate Range,,,,Number,,,,,,,,,,,,Federal,,
,(in percents),,,,of,Income Brackets,,,,,Personal Exemptions,,,,,,Income Tax,,
State,Low,,High,,Brackets,Lowest,,,Highest,,Single,,Married,,Dependents,,Deductible,,
,,,,,,,,,,,,,,,,,,,
Alabama,2.0,-,5.0,,3,500,(b),-,"3,001",(b),"1,500",,"3,000",,500,(e),Yes,,
Alaska, No State Income Tax,,,,,,,,,,,,,,,,,,
Arizona (a),2.59,-,4.50,,5,"26,500",(b),-,"159,000",(b),--,,--,,100,(c),,,
Arkansas (a),2.0,-,6.6,(f),6,"4,600",,-,"80,801",,26,(c),52,(c),26,(c),,,
California (a),1.0,,12.3,(g),9,"8,809",(b),-,"590,742",(b),122,(c),244,(c),378,(c),,,
Colorado,4.63,,,,1,,,-----Flat rate-----,,,--,(d),--,(d),--,(d),,,
Connecticut,3.0,-,6.99,,7,"10,000",(b),-,"500,000",(b),"15,000",(h),"24,000",(h),0,,,,
Delaware,0.0,-,6.6,,7,"2,000",,-,"60,001",,110,(c),220,(c),110,(c),,,
Florida, No State Income Tax,,,,,,,,,,,,,,,,,,
Georgia,1.0,-,5.75,,6,750,(i),-,"7,001",(i),"2,700",,"7,400",,"3,000",,,,
Hawaii,1.4,-,11.0,,12,"2,400",(b),-,"200,000",(b),"1,144",,"2,288",,"1,144",,,,
Idaho (a),1.125,-,6.925,,7,"1,541",(b),-,"11,554",(b),--,(d),--,(d),--,(d),,,
Illinois (a),4.95,,,,1,,,-----Flat rate-----,,,"2,275",,"4,550",,"2,275",,,,
Indiana,3.23,,,,1,,,-----Flat rate-----,,,"1,000",,"2,000",,"2,500",(j),,,
Iowa (a),0.33,-,8.53,,9,"15,666",,-,"74,970",,40,(c),80,(c),40,(c),Yes,,
Kansas,3.1,-,5.7,,3,"15,000",(b),-,"30,000",(b),"2,250",,"4,500",,"2,250",,,,
Kentucky,5.0,,,,1,,,-----Flat rate-----,,,,,          -----------None-----------,,,,,,
Louisiana,2.0,-,6.0,,3,"12,500",(b),-,"50,001",(b),"4,500",(k),"9,000",(k),"1,000",,Yes,,
Maine (a),5.8,-,7.15,,3,"22,200",(l),-,"52,600",(l),"4,300",,"8,600",,"4,300",,,,
Maryland,2.0,-,5.75,,8,"1,000",(m),-,"250,000",(m),"3,200",,"6,400",,"3,200",,,,
Massachusetts,5.1,,,,1,,,-----Flat rate-----,,,"4,400",,"8,800",,"1,000",,,,
Michigan (a),4.25,,,,1,,,-----Flat rate-----,,,"4,400",,"8,800",,"4,400",,,,
Minnesota (a),5.35,-,9.85,,4,"26,960",(n),-,"164,401",(n),--,(d),--,(d),"4,250",,,,
Mississippi,3.0,-,5.0,,3,"5,000",,-,"10,001",,"6,000",,"12,000",,"1,500",,,,
Missouri (a),1.5,-,5.4,,9,"1,053",,-,"8,424",,--,(d),--,(d),--,(d),Yes (o),,
Montana (a),1.0,-,6.9,,7,"3,100",,-,"18,400",,"2,510",,"5,020",,"2,510",,Yes (o),,
Nebraska (a),2.46,-,6.84,,4,"3,290",(b),-,"31,750",(b),140,(c),280,(c),140,(c),,,
Nevada, No State Income Tax,,,,,,,,,,,,,,,,,,
New Hampshire,State Income Tax of 5% on Dividends and Interest Income Only,,,,,,,,,,,,,,,,,,
New Jersey,1.4,-,10.75,,6,"20,000",(p),-,5 million,(p),"1,000",,"2,000",,"1,000",,,,
New Mexico,1.7,-,4.9,,4,"5,500",(q),-,"16,001",(q),--,(d),--,(d),--,(d),,,
New York (a),4.0,-,8.82,,8,"8,500",(b),-,"1,077,550",(b),0,,0,,"1,000",,,,
North Carolina,5.25,,,,1,,,-----Flat rate-----,,,,,          -----------None-----------,,,,,,
North Dakota (a),1.1,-,2.9,,5,"40,125",(r),-,"440,600",(r),--,(d),--,(d),--,(d),,,
Ohio (a),0.0,,4.797,,6,"21,750",,-,"217,400",,"2,350",(s),"4,700",(s),"2,350",(s),,,
Oklahoma ,0.5,-,5.0,,6,"1,000",(t),-,"7,200",(t),"1,000",,"2,000",,"1,000",,,,
Oregon (a),4.75,-,9.9,,4,"3,600",(b),-,"125,000",(b),210,(c),420,(c),120,(c),Yes (o),,
Pennsylvania,3.07,,,,1,,,-----Flat rate-----,,,,,          -----------None-----------,,,,,,
Rhode Island (a) ,3.75,-,5.99,,3,"65,250",,-,"148,350",,"4,100",,"8,200",,"4,100",,,,
South Carolina (a),0.0,-,7.0,,6,"3,070",,-,"15,400",,--,(d),--,(d),--,(d),,,
South Dakota, No State Income Tax,,,,,,,,,,,,,,,,,,
Tennessee,State Income Tax of 1% on Dividends and Interest Income Only (x),,,,,,,,,,"1,250",,"2,500",,0,,,,
Texas, No State Income Tax,,,,,,,,,,,,,,,,,,
Utah,4.95,,,,1,,,-----Flat rate-----,,,--,,--,,--,,,,
Vermont (a),3.35,-,8.75,,4,"40,350",(v),-,"204,000",(v),"4,250",,"8,500",,"4,250",,,,
Virginia,2.0,-,5.75,,4,"3,000",,-,"17,001",,930,,"1,860",,930,,,,
Washington, No State Income Tax,,,,,,,,,,,,,,,,,,
West Virginia,3.0,-,6.5,,5,"10,000",,-,"60,000",,"2,000",,"4,000",,"2,000",,,,
Wisconsin (a),4.0,-,7.65,,4,"11,970",(w),-,"263,480",(w),700,,"1,400",,700,,,,
Wyoming, No State Income Tax,,,,,,,,,,,,,,,,,,
,,,,,,,,-,,,,,,,,,,,
District of Columbia ,4.0,-,8.95,,6,"10,000",,-,"1,000,000",,--,(d),--,(d),--,(d),,,
,,,,,,,,,,,,,,,,,,,
SOURCE:,,,,,,,,,,,,,,,,,,,
"The Federation of Tax Administrators, January 2020.",,,,,,,,,,,,,,,,,,,
http://www.taxadmin.org/current-tax-rates,,,,,,,,,,,,,,,,,,,
NOTES:,,,,,,,,,,,,,,,,,,,
"(a) 19 states have statutory provision for automatically adjusting to the rate of inflation the dollar values of the income tax brackets, standard deductions, and/or personal exemptions.  Michigan indexes the personal exemption only.  Oregon does not index the income brackets for $125,000 and over. ",,,,,,,,,,,,,,,,,,,
"(b) For joint returns, taxes are twice the tax on half the couple’s income.",,,,,,,,,,,,,,,,,,,
(c) The personal exemption takes the form of a tax credit instead of a deduction.,,,,,,,,,,,,,,,,,,,
(d) These states use the personal exemption/standard deduction amounts provided in the federal Internal Revenue Code. ,,,,,,,,,,,,,,,,,,,
"(e) In Alabama, the per-dependent exemption is $1,000 for taxpayers with state AGI of $20,000 or less, $500 with AGI from $20,001 to $100,000, and $300 with AGI over $100,000.",,,,,,,,,,,,,,,,,,,
"(f) Arkansas has separate brackets for taxpayers with income under $75,000 and $21,000. ",,,,,,,,,,,,,,,,,,,
"(g) California imposes an additional 1% tax on taxable income over $1 million, making the maximum rate 13.3% over $1 million.  ",,,,,,,,,,,,,,,,,,,
"(h) Connecticut’s personal exemption incorporates a standard deduction. An additional tax credit is allowed ranging from 75% to 0% based on state adjusted gross income.  Exemption amounts are phased out for higher income taxpayers until they are eliminated for households earning over $71,000.",,,,,,,,,,,,,,,,,,,
"(i) The Georgia income brackets reported are for single individuals.  For married couples filing jointly, the same tax rates apply to income brackets ranging from $1,000, to $10,000.",,,,,,,,,,,,,,,,,,,
"(j) In Indiana, includes an additional exemption of $1,500 for each dependent child.",,,,,,,,,,,,,,,,,,,
