STATE,RANK,VALUE
Alabama,48,-0.838
Alaska,32,-0.115
Arizona,30,-0.105
Arkansas,46,-0.672
California,12,0.431
Colorado,8,0.588
Connecticut,3,0.799
Delaware,31,-0.109
Florida,29,-0.087
Georgia,39,-0.394
Hawaii,1,0.882
Idaho,16,0.349
Illinois,26,0.06
Indiana,41,-0.432
Iowa,18,0.336
Kansas,27,0.036
Kentucky,45,-0.62
Louisiana,50,-1.021
Maine,16,0.349
Maryland,19,0.306
Massachusetts,2,0.866
Michigan,34,-0.194
Minnesota,7,0.665
Mississippi,49,-1.01
Missouri,38,-0.345
Montana,21,0.295
Nebraska,15,0.379
Nevada,36,-0.267
New Hampshire,6,0.692
New Jersey,11,0.46
New Mexico,35,-0.204
New York,10,0.476
North Carolina,33,-0.191
North Dakota,13,0.416
Ohio,40,-0.424
Oklahoma,47,-0.744
Oregon,21,0.295
Pennsylvania,28,-0.014
Rhode Island,14,0.382
South Carolina,43,-0.567
South Dakota,25,0.067
Tennessee,42,-0.566
Texas,37,-0.286
Utah,5,0.702
Vermont,4,0.719
Virginia,20,0.305
Washington,9,0.584
West Virginia,44,-0.603
Wisconsin,23,0.22
Wyoming,24,0.21
