State,MedianValue
Hawaii,615300
California,505000
Massachusetts,381600
Colorado,343300
Washington,339000
New Jersey,335600
Maryland,314800
New York,313700
Oregon,312200
Utah,279100
Connecticut,275400
Virginia,273100
Alaska,270400
Nevada,267900
Rhode Island,261900
New Hampshire,261700
Delaware,251100
Montana,230600
Vermont,227700
Arizona,225500
Minnesota,223900
Wyoming,220500
Florida,215300
Idaho,212300
Illinois,194500
North Dakota,193900
Maine,190400
Wisconsin,180600
Pennsylvania,180200
Georgia,176000
Texas,172500
North Carolina,172500
New Mexico,171400
Tennessee,167200
South Dakota,167100
Louisiana,163100
South Carolina,162300
Missouri,157200
Nebraska,155800
Michigan,154900
Kansas,151900
Iowa,147800
Ohio,145700
Alabama,142700
Indiana,141700
Kentucky,141000
Oklahoma,136800
Arkansas,127800
West Virginia,119600
Mississippi,119000
